dataset	n_cre	median_pi	mean_pi	max_pi	pct_pi_gt_0.05	pct_pi_gt_0.10	median_mu_NB	median_mu_ZINB	mean_mu_NB	mean_mu_ZINB
Shendure (obs)	208	0.40533073246479034	0.40084807467689804	0.9555870890617371	91.26602564102564	86.0576923076923	0.07051896676421165	0.1287815198302269	1.8573059370459686	2.1608383881291897
Shendure (CM)	208	0.6114227473735809	0.5469086452473838	0.9713747501373291	99.67948717948718	97.35576923076923	3.698008549690712e-05	9.083267286769114e-05	0.0028610829972426843	0.0066521742332636795
Takeshi (obs)	152	0.009847579523921013	0.01112872189964707	0.04513031244277954	0.0	0.0	0.036856818944215775	0.0373050831258297	0.07789179190543412	0.07891859387412599
Takeshi (CM)	152	0.01000686315819621	0.00999312694674652	0.010351002216339111	0.0	0.0	0.00012277702626306564	0.00012401334242895246	0.0003695113489484177	0.00037328674774852387
