	name	debug
0	Cardiomyocytes	ok
1	EpiblastPrimitiveStreak	ok
2	ExEndodermParietal	ok
3	ExEndodermVisceral	ok
4	Haematoendothelial	ok
5	Mesoderm	ok
