
CondaError: Run 'conda init' before 'conda deactivate'

---FILE SRR21787461_1_uniq.hist ---
---LC_EXTRAP---
TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
10000000.0	2973310.5	2970498.2	2976104.8
20000000.0	4378151.0	4373046.9	4382845.3
30000000.0	5648607.0	5641299.5	5655528.3
40000000.0	6863312.0	6853685.4	6872793.7
50000000.0	8041104.0	8029087.7	8052942.4
60000000.0	9189766.0	9175615.1	9203734.8
70000000.0	10313760.0	10297497.7	10329948.6
80000000.0	11416017.5	11397611.4	11434274.6
90000000.0	12498706.0	12478221.0	12518987.5
100000000.0	13563512.5	13541007.2	13585777.1
110000000.0	14611836.0	14587300.2	14635998.1
120000000.0	15644796.0	15618273.7	15670820.0
130000000.0	16663361.0	16634896.3	16691188.0
140000000.0	17668363.5	17638002.4	17697973.8
150000000.0	18660552.5	18628327.2	18691909.3
160000000.0	19640676.5	19606565.4	19673688.8
170000000.0	20609209.0	20573289.9	20643886.8
180000000.0	21566785.5	21529060.0	21603209.2
190000000.0	22513821.5	22474353.4	22551919.9
200000000.0	23450815.5	23409651.6	23490553.1
210000000.0	24378102.5	24335403.6	24419543.1
220000000.0	25296219.0	25251773.9	25339272.0
230000000.0	26205371.0	26159381.1	26250108.8
240000000.0	27105995.0	27058464.2	27152406.8
250000000.0	27998437.0	27949337.1	28046524.9
260000000.0	28882990.5	28832290.9	28932689.9
270000000.0	29759798.0	29707603.5	29811177.1
280000000.0	30629170.5	30575531.9	30682239.5
290000000.0	31491422.4	31436320.2	31546129.2
300000000.0	32346757.5	32290199.1	32403076.5
310000000.0	33195377.5	33137384.4	33253170.2
320000000.0	34037505.3	33978016.6	34096673.2
330000000.0	34873336.8	34812347.2	34933849.2
340000000.0	35703043.0	35640568.4	35764885.2
350000000.0	36526801.5	36462857.4	36589967.9
360000000.0	37344781.6	37279382.7	37409410.0
370000000.0	38157144.7	38090307.4	38223231.1
380000000.0	38964079.3	38895783.2	39031585.9
390000000.0	39765660.3	39695956.6	39834621.8
400000000.0	40562076.5	40491009.3	40632480.2
410000000.0	41353428.6	41281172.8	41425294.8
420000000.0	42139869.5	42066288.9	42213194.2
430000000.0	42921528.4	42846457.5	42996304.8
440000000.0	43698543.5	43621972.2	43774746.0
450000000.0	44470992.0	44393076.3	44548632.2
460000000.0	45239014.2	45159805.9	45318074.0
470000000.0	46002729.3	45922201.9	46083177.4
