
CondaError: Run 'conda init' before 'conda deactivate'

---FILE SRR21787462_2_uniq.hist ---
---LC_EXTRAP---
TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
10000000.0	1403081.0	1382975.8	1423870.7
20000000.0	2604117.5	2566750.0	2643077.7
30000000.0	3742875.0	3689013.8	3798793.3
40000000.0	4839397.5	4769881.0	4911615.5
50000000.0	5903760.0	5819073.5	5991683.0
60000000.0	6942062.0	6842641.5	7045226.3
70000000.0	7958447.5	7844756.2	8076647.4
80000000.0	8956211.5	8828529.1	9089162.0
90000000.0	9937810.5	9796401.2	10085212.3
100000000.0	10905177.5	10750297.7	11066843.0
110000000.0	11859902.5	11691645.1	12035664.2
120000000.0	12803259.5	12621850.8	12992912.5
130000000.0	13736360.0	13541925.7	13939783.1
140000000.0	14660173.0	14452755.4	14877234.8
150000000.0	15575445.0	15355247.8	15806019.6
160000000.0	16482904.5	16249961.6	16726886.7
170000000.0	17383137.5	17137543.8	17640418.1
180000000.0	18276703.5	18018515.1	18547162.5
190000000.0	19164034.5	18893335.9	19447607.9
200000000.0	20045587.0	19762401.4	20342191.7
210000000.0	20921726.0	20626116.4	21231260.0
220000000.0	21792770.5	21484769.9	22115164.9
230000000.0	22659007.5	22338700.0	22994219.4
240000000.0	23520734.0	23188150.1	23868708.1
250000000.0	24378187.5	24033383.0	24738877.4
260000000.0	25231599.0	24874609.1	25604951.3
270000000.0	26081181.0	25712047.9	26467144.1
280000000.0	26927112.5	26545882.9	27325653.9
290000000.0	27769575.0	27376283.7	28180652.9
300000000.0	28608733.0	28203410.6	29032305.8
310000000.0	29444729.5	29027411.4	29880763.9
320000000.0	30277708.0	29848424.2	30726168.1
330000000.0	31107798.0	30666578.9	31568650.2
340000000.0	31935115.5	31481990.7	32408325.5
350000000.0	32759773.0	32294768.3	33245310.8
360000000.0	33581873.5	33105018.9	34079710.2
370000000.0	34401517.5	33912820.0	34911621.6
380000000.0	35218792.6	34718217.5	35741139.2
390000000.0	36033787.2	35521351.9	36568347.7
400000000.0	36846580.5	36322306.4	37393328.5
410000000.0	37657248.1	37121154.1	38216157.9
420000000.0	38465861.2	37917965.8	39036907.9
430000000.0	39272487.2	38712807.9	39855646.4
440000000.0	40077189.6	39505743.3	40672437.4
450000000.0	40880028.4	40296833.4	41487341.7
460000000.0	41681060.7	41086132.8	42300416.7
470000000.0	42480340.3	41873694.5	43111715.4
480000000.0	43277918.5	42659570.3	43921296.1
490000000.0	44073843.8	43443806.5	44729198.7
500000000.0	44868162.6	44226450.0	45535474.4
510000000.0	45660918.9	45007544.1	46340167.4
520000000.0	46452154.5	45787130.4	47143319.8
530000000.0	47241929.9	46565248.3	47944972.0
540000000.0	48030268.7	47341935.6	48745162.3
550000000.0	48817200.8	48117228.4	49543929.6
560000000.0	49602755.4	48891161.0	50341304.2
570000000.0	50386861.0	49663766.5	51137323.6
580000000.0	51169975.6	50435076.3	51932019.1
590000000.0	51951605.1	51205120.7	52725421.3
600000000.0	52732005.0	51973928.6	53517559.9
610000000.0	53511191.0	52741527.8	54308463.1
620000000.0	54289188.2	53507944.8	55098158.2
630000000.0	55066021.8	54273205.2	55886671.1
640000000.0	55841716.1	55037333.7	56674027.1
650000000.0	56616295.1	55800353.8	57460250.1
660000000.0	57389781.5	56562288.2	58245363.4
670000000.0	58162123.7	57323158.8	59029389.3
680000000.0	58933412.1	58082986.6	59812349.3
690000000.0	59703670.2	58841791.9	60594264.1
700000000.0	60472917.8	59599594.2	61375153.6
710000000.0	61241174.1	60356412.4	62155037.1
720000000.0	62008457.7	61112264.6	62933933.2
730000000.0	62774786.3	61867168.3	63711859.7
740000000.0	63540177.2	62621140.4	64488833.9
750000000.0	64304647.2	63374197.4	65264872.6
760000000.0	65068212.3	64126355.0	66039991.9
770000000.0	65830888.2	64877628.4	66814207.5
780000000.0	66592689.9	65628032.4	67587534.3
790000000.0	67353632.0	66377581.4	68359987.1
800000000.0	68113728.9	67126289.1	69131579.9
810000000.0	68872994.0	67874168.8	69902326.5
820000000.0	69631454.8	68621233.7	70672240.1
830000000.0	70389122.7	69367496.1	71441333.5
840000000.0	71145996.0	70112968.4	72209619.3
850000000.0	71902086.7	70857662.2	72977109.4
860000000.0	72657406.3	71601589.0	73743815.6
870000000.0	73411796.2	72344759.8	74509749.3
880000000.0	74165398.1	73087185.6	75274921.4
890000000.0	74918254.3	73828876.6	76039342.7
900000000.0	75670375.0	74569843.1	76803023.5
910000000.0	76421770.0	75310094.8	77565974.0
920000000.0	77172449.1	76049641.4	78328204.0
930000000.0	77922405.8	76788492.1	79089722.9
940000000.0	78671518.0	77526656.0	79850540.0
950000000.0	79420110.9	78264141.9	80610664.4
960000000.0	80168093.3	79000958.3	81370104.8
970000000.0	80915600.3	79737113.5	82128869.8
980000000.0	81662457.7	80472615.6	82886967.5
990000000.0	82408673.7	81207472.4	83644406.1
1000000000.0	83154256.5	81941691.7	84401193.5
1010000000.0	83898488.0	82675280.8	85157337.2
1020000000.0	84642808.6	83408247.3	85912844.8
1030000000.0	85386513.3	84137888.3	86667723.5
1040000000.0	86129609.4	84865801.8	87421980.4
1050000000.0	86872103.5	85592799.5	88175622.3
1060000000.0	87614327.8	86318870.8	88928656.1
1070000000.0	88356034.1	87044015.5	89681088.1
1080000000.0	89096845.2	87768221.8	90432924.9
1090000000.0	89836772.3	88493855.0	91184172.7
1100000000.0	90576330.7	89222266.2	91935886.8
1110000000.0	91315324.8	89950123.8	92687145.9
1120000000.0	92053760.4	90677433.6	93437881.0
1130000000.0	92791643.3	91404201.3	94188098.7
1140000000.0	93528978.8	92130432.2	94937469.8
1150000000.0	94265653.3	92856131.7	95684976.9
1160000000.0	95002029.5	93581305.1	96431917.5
1170000000.0	95737644.3	94305957.4	97178296.6
1180000000.0	96472861.1	95030093.7	97924119.0
1190000000.0	97206937.1	95753718.7	98669389.3
1200000000.0	97941056.4	96476837.3	99414112.1
1210000000.0	98674661.7	97199454.1	100158291.9
1220000000.0	99407642.4	97921588.7	100901933.0
1230000000.0	100140348.1	98643233.9	101645038.3
1240000000.0	100872438.1	99364391.2	102387547.4
1250000000.0	101604684.7	100085064.9	103129528.3
1260000000.0	102336162.6	100805259.2	103871094.8
1270000000.0	103066832.3	101524980.6	104612647.7
1280000000.0	103795875.0	102244251.7	105353705.8
1290000000.0	104525523.6	102963056.1	106094273.1
1300000000.0	105254695.7	103681397.7	106834353.3
1310000000.0	105982896.5	104399280.2	107573950.3
1320000000.0	106710865.3	105116707.4	108313067.7
1330000000.0	107439097.6	105833682.8	109051709.2
1340000000.0	108165132.8	106550209.9	109789878.4
1350000000.0	108890799.7	107266292.3	110527578.6
1360000000.0	109617379.2	107981933.3	111264942.4
1370000000.0	110343437.6	108697136.2	112001963.5
1380000000.0	111069049.8	109411904.3	112738532.5
1390000000.0	111794003.9	110126240.7	113474652.8
1400000000.0	112518091.3	110840148.7	114210327.4
1410000000.0	113241726.5	111553631.3	114945559.7
1420000000.0	113964912.3	112266691.5	115679447.9
1430000000.0	114686869.5	112979332.2	116412759.6
1440000000.0	115409947.1	113691556.3	117146426.9
1450000000.0	116131801.6	114403366.7	117879657.4
1460000000.0	116853344.3	115114766.2	118612453.9
1470000000.0	117576053.2	115825757.4	119344819.2
1480000000.0	118298373.5	116525783.5	120076756.0
1490000000.0	119019750.6	117236065.3	120808266.9
1500000000.0	119739821.6	117946371.7	121539354.5
1510000000.0	120459474.0	118656267.6	122270021.4
1520000000.0	121178710.1	119362210.9	123000270.1
1530000000.0	121897452.3	120067696.0	123730103.1
1540000000.0	122614109.3	120772725.2	124459522.7
1550000000.0	123326394.6	121476860.9	125188531.4
1560000000.0	124040577.3	122159631.4	125917131.4
1570000000.0	124757583.8	122865467.4	126645325.1
1580000000.0	125474185.9	123570903.1	127373114.8
1590000000.0	126190476.6	124275940.7	128100502.5
1600000000.0	126907289.4	124980582.3	128827490.5
1610000000.0	127623243.6	125684829.8	129554081.0
1620000000.0	128338771.0	126388685.3	130280276.0
1630000000.0	129053926.1	127092123.3	131006077.6
1640000000.0	129769063.1	127795060.9	131731487.8
1650000000.0	130479624.2	128497742.0	132456508.6
1660000000.0	131192751.6	129197142.6	133181142.0
1670000000.0	131906079.1	129897039.9	133905389.9
1680000000.0	132618408.6	130595768.1	134631542.8
1690000000.0	133331839.9	131294065.2	135357472.9
1700000000.0	134046988.9	131991932.8	136083070.9
1710000000.0	134757302.9	132689413.8	136808338.9
1720000000.0	135468900.9	133386625.7	137533278.9
1730000000.0	136181192.9	134083416.6	138257300.0
1740000000.0	136893718.3	134779788.0	138979500.9
1750000000.0	137605910.6	135475452.3	139701340.7
1760000000.0	138317771.4	136170902.1	140422821.2
1770000000.0	139028027.3	136866506.1	141143944.1
1780000000.0	139737611.9	137565827.3	141864711.1
1790000000.0	140447565.5	138264816.6	142586918.1
1800000000.0	141157441.2	138963475.7	143309257.1
1810000000.0	141866981.3	139661806.0	144031283.1
1820000000.0	142574637.3	140359809.2	144752997.9
1830000000.0	143281973.3	141057486.9	145474403.1
1840000000.0	143983305.4	141754840.4	146195500.4
1850000000.0	144686816.5	142451960.9	146916291.3
1860000000.0	145390378.7	143148817.9	147636777.4
1870000000.0	146098494.2	143841476.7	148356960.3
1880000000.0	146807144.4	144531073.4	149076841.6
1890000000.0	147515922.1	145200631.0	149796422.6
1900000000.0	148221905.9	145896280.7	150515705.0
1910000000.0	148921705.6	146591811.5	151234578.7
1920000000.0	149626592.6	147264310.1	151953044.9
1930000000.0	150331148.3	147941944.0	152663586.2
1940000000.0	151035374.1	148632463.5	153372852.1
1950000000.0	151740139.4	149322750.1	154091025.0
1960000000.0	152444812.9	150012680.6	154811079.5
1970000000.0	153149174.9	150702256.3	155530902.6
1980000000.0	153853202.9	151388979.2	156250496.0
1990000000.0	154551276.1	152075890.2	156969861.6
2000000000.0	155252559.3	152768865.1	157689001.0
2010000000.0	155955112.6	153455282.3	158405871.6
2020000000.0	156657469.1	154138549.7	159114754.6
2030000000.0	157359136.8	154821757.9	159823253.8
2040000000.0	158055261.0	155502764.3	160531375.2
2050000000.0	158749721.6	156186146.6	161239119.8
2060000000.0	159447406.0	156868001.4	161946488.7
2070000000.0	160148254.2	157549442.8	162653482.9
2080000000.0	160848801.3	158230486.0	163360103.4
2090000000.0	161547905.7	158911148.0	164066351.1
2100000000.0	162243155.7	159591399.4	164772227.1
2110000000.0	162942747.4	160271241.0	165477732.2
2120000000.0	163643366.0	160950673.6	166182867.5
2130000000.0	164346211.1	161629697.9	166890060.7
2140000000.0	165048332.0	162308557.1	167603784.5
2150000000.0	165746428.8	162989900.2	168317277.1
2160000000.0	166438957.2	163671809.4	169030539.7
2170000000.0	167135491.2	164352950.2	169743573.8
2180000000.0	167832636.6	165033867.6	170456380.5
2190000000.0	168529559.9	165710287.5	171168961.3
2200000000.0	169224481.0	166392903.9	171876653.6
2210000000.0	169915466.9	167073838.9	172575467.9
2220000000.0	170605471.7	167753239.0	173273878.2
2230000000.0	171302577.2	168432307.1	173974792.2
2240000000.0	171995864.4	169111155.3	174682695.8
2250000000.0	172690024.8	169789660.4	175390324.2
2260000000.0	173382350.4	170467823.1	176097678.3
2270000000.0	174077927.9	171145644.2	176804759.0
2280000000.0	174772273.8	171811067.9	177511567.3
2290000000.0	175464263.7	172491188.3	178220579.0
2300000000.0	176154678.2	173171459.3	178931781.4
2310000000.0	176844767.3	173851435.2	179642777.4
2320000000.0	177535536.8	174528310.7	180353567.8
2330000000.0	178230222.4	175203941.4	181064153.7
2340000000.0	178919056.3	175879233.7	181774536.1
2350000000.0	179606667.6	176554188.5	182484631.8
2360000000.0	180294954.5	177228806.4	183194455.0
2370000000.0	180982920.8	177903088.0	183904075.2
2380000000.0	181671934.0	178577034.0	184613493.4
2390000000.0	182363988.6	179250645.2	185322710.4
2400000000.0	183053413.5	179923922.2	186031727.3
2410000000.0	183740657.9	180596865.6	186740544.7
2420000000.0	184427322.0	181269476.1	187449163.7
2430000000.0	185115382.0	181918208.6	188157585.0
2440000000.0	185800318.1	182556755.7	188861080.7
2450000000.0	186486864.1	183194077.8	189561834.5
2460000000.0	187173399.2	183843396.6	190262306.9
2470000000.0	187859632.9	184488063.4	190962498.8
2480000000.0	188542868.8	185124852.0	191662410.7
2490000000.0	189228850.4	185748198.8	192361952.9
2500000000.0	189916118.2	186370862.0	193061046.5
