
CondaError: Run 'conda init' before 'conda deactivate'

---FILE SRR21787462_1_uniq.hist ---
---LC_EXTRAP---
TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
10000000.0	789676.0	783776.8	795460.0
20000000.0	1164646.5	1156341.4	1173106.8
30000000.0	1460641.0	1450223.9	1471399.5
40000000.0	1718988.0	1706489.8	1731819.8
50000000.0	1953778.0	1939344.9	1968548.9
60000000.0	2171911.0	2155747.9	2188421.1
70000000.0	2377236.0	2359175.1	2395408.6
80000000.0	2572294.0	2552500.8	2592039.1
90000000.0	2758762.5	2737529.3	2780027.3
100000000.0	2938055.5	2915371.8	2960650.1
110000000.0	3111096.0	3086939.2	3135071.9
120000000.0	3278549.0	3252972.4	3303932.9
130000000.0	3441136.0	3414155.8	3467866.9
140000000.0	3599337.5	3570991.3	3627369.9
150000000.0	3753471.0	3723882.9	3782871.9
160000000.0	3904004.0	3873197.5	3934724.1
170000000.0	4051299.5	4019221.3	4083241.4
180000000.0	4195598.0	4162265.0	4228679.5
190000000.0	4337050.5	4302532.3	4371272.6
200000000.0	4475854.5	4440208.4	4511217.8
210000000.0	4612182.5	4575451.7	4648694.2
220000000.0	4746196.5	4708366.0	4783836.2
230000000.0	4878082.5	4839137.6	4916857.2
240000000.0	5007969.5	4967911.0	5047862.6
250000000.0	5135941.5	5094792.5	5176931.4
260000000.0	5262084.5	5219888.8	5304113.1
270000000.0	5386520.0	5343333.0	5429569.8
280000000.0	5509349.5	5465172.8	5553393.1
290000000.0	5630656.0	5585481.7	5675656.7
300000000.0	5750494.5	5704330.8	5796440.2
310000000.0	5868899.0	5821788.9	5915809.7
320000000.0	5985932.5	5937912.1	6033824.3
330000000.0	6101683.5	6052761.3	6150549.8
340000000.0	6216263.5	6166388.8	6266058.7
350000000.0	6329678.5	6278844.2	6380375.7
360000000.0	6441963.0	6390170.8	6493551.6
370000000.0	6553157.5	6500415.4	6605716.2
380000000.0	6663256.6	6609616.1	6716834.2
390000000.0	6772337.2	6717782.0	6826853.8
400000000.0	6880465.7	6824956.4	6935866.8
410000000.0	6987667.1	6931194.9	7043929.2
420000000.0	7093949.0	7036529.0	7151072.7
430000000.0	7199319.8	7140988.4	7257327.6
440000000.0	7303872.2	7244601.4	7362722.2
450000000.0	7407616.1	7347394.4	7467283.4
460000000.0	7510561.0	7449445.5	7571036.8
470000000.0	7612755.5	7550735.2	7674006.5
480000000.0	7714190.0	7651279.0	7776215.7
490000000.0	7814856.9	7751099.5	7877685.7
500000000.0	7914752.8	7850216.3	7978435.4
510000000.0	8013971.2	7948648.9	8078487.0
520000000.0	8112546.7	8046415.8	8177859.7
530000000.0	8210469.2	8143535.0	8276571.4
540000000.0	8307755.8	8239990.8	8374639.7
550000000.0	8404420.4	8335803.1	8472081.1
560000000.0	8500472.6	8431012.4	8568916.0
570000000.0	8595934.0	8525634.7	8665174.1
580000000.0	8690820.1	8619682.6	8760852.5
590000000.0	8785133.5	8713199.0	8855965.4
600000000.0	8878899.2	8806134.3	8950526.4
610000000.0	8972147.2	8898535.9	9044548.6
620000000.0	9064858.1	8990415.9	9138044.4
630000000.0	9157058.4	9081785.9	9231026.1
640000000.0	9248814.8	9172657.1	9323505.2
650000000.0	9340058.2	9263040.5	9415493.0
660000000.0	9430845.9	9352946.3	9507000.3
670000000.0	9521200.2	9442384.6	9598037.4
680000000.0	9611048.1	9531365.1	9688614.3
690000000.0	9700429.0	9619897.2	9778740.5
700000000.0	9789329.7	9707989.8	9868425.4
710000000.0	9877797.7	9795651.7	9957677.5
720000000.0	9965883.6	9882891.4	10046505.5
730000000.0	10053543.3	9969717.0	10134917.2
740000000.0	10140793.7	10056136.4	10222920.4
750000000.0	10227601.7	10142157.3	10310522.2
760000000.0	10313984.6	10227786.9	10397729.7
770000000.0	10399980.4	10313033.0	10484549.2
780000000.0	10485662.3	10397903.9	10570986.9
790000000.0	10571043.8	10482404.8	10657048.6
