
CondaError: Run 'conda init' before 'conda deactivate'

---FILE SRR32774353_1_uniq.hist ---
---LC_EXTRAP---
TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
10000000.0	764426.0	757418.0	770475.2
20000000.0	1140059.0	1129508.8	1148999.5
30000000.0	1442276.0	1428727.1	1453716.8
40000000.0	1707803.5	1691757.8	1721546.8
50000000.0	1949893.0	1931430.9	1965712.9
60000000.0	2174980.0	2154285.7	2192812.2
70000000.0	2387001.0	2364191.4	2406761.0
80000000.0	2588398.5	2563566.9	2610061.1
90000000.0	2781028.5	2754105.5	2804477.7
100000000.0	2966156.5	2937224.2	2991351.6
110000000.0	3144848.5	3113942.3	3171661.7
120000000.0	3317825.5	3285010.7	3346210.9
130000000.0	3485706.5	3451093.5	3515634.0
140000000.0	3649011.5	3612754.7	3680456.5
150000000.0	3808216.0	3770339.0	3841110.5
160000000.0	3963663.0	3924199.5	3997975.4
170000000.0	4115652.0	4074655.2	4151352.5
180000000.0	4264448.5	4221968.8	4301512.4
190000000.0	4410310.5	4366377.4	4448695.0
200000000.0	4553442.0	4508085.1	4593125.4
210000000.0	4694051.0	4647269.7	4734987.8
220000000.0	4832306.0	4784098.2	4874447.0
230000000.0	4968326.0	4918711.7	5011706.5
240000000.0	5102242.5	5051240.2	5146801.1
250000000.0	5234143.5	5181801.3	5279861.1
260000000.0	5364157.5	5310503.3	5411018.2
270000000.0	5492363.5	5437440.4	5540383.1
280000000.0	5618877.0	5562704.6	5668037.7
290000000.0	5743797.5	5686371.0	5794056.7
300000000.0	5867187.5	5808518.4	5918525.9
310000000.0	5989078.0	5929216.0	6041516.0
320000000.0	6109561.5	6048525.6	6163125.4
330000000.0	6228731.5	6166505.3	6283379.8
340000000.0	6346614.1	6283211.1	6402336.2
350000000.0	6463253.9	6398692.1	6520048.0
360000000.0	6578677.5	6512999.0	6636562.2
370000000.0	6692965.3	6626174.1	6751924.0
380000000.0	6806150.8	6738259.0	6866175.7
390000000.0	6918284.6	6849292.4	6979357.0
400000000.0	7029409.1	6959310.9	7091504.9
410000000.0	7139542.5	7068348.6	7202654.6
420000000.0	7248717.3	7176438.0	7312838.9
430000000.0	7356979.1	7283609.3	7422088.8
440000000.0	7464350.0	7389891.3	7530433.7
450000000.0	7570848.6	7495311.1	7637901.2
460000000.0	7676473.5	7599894.4	7744517.5
470000000.0	7781279.8	7703665.5	7850307.4
480000000.0	7885312.4	7806647.3	7955294.3
490000000.0	7988572.1	7908899.5	8059500.7
500000000.0	8091060.2	8010423.5	8162947.7
510000000.0	8192801.1	8111220.2	8265655.5
520000000.0	8293840.7	8211307.7	8367643.2
530000000.0	8394213.2	8310703.1	8468927.5
540000000.0	8493916.7	8409421.3	8569527.1
550000000.0	8592923.0	8507470.9	8669458.8
560000000.0	8691280.0	8604780.0	8768738.6
570000000.0	8789035.4	8701824.0	8867381.7
580000000.0	8886182.4	8797951.4	8965400.9
590000000.0	8982729.6	8893519.5	9062700.6
600000000.0	9078690.4	8988506.4	9159396.5
610000000.0	9174068.9	9082919.8	9255501.0
620000000.0	9268853.1	9176716.0	9351025.5
630000000.0	9363016.6	9269919.9	9445981.1
640000000.0	9456667.6	9362582.1	9540378.2
650000000.0	9549844.8	9454713.5	9634226.9
660000000.0	9642582.4	9546406.0	9727534.3
670000000.0	9734690.7	9637813.9	9820310.9
680000000.0	9826225.3	9728618.7	9912566.1
690000000.0	9917276.6	9818803.0	10004308.1
700000000.0	10007840.9	9908470.7	10095545.2
710000000.0	10097941.2	9997484.7	10186284.8
720000000.0	10187542.2	10086023.9	10276658.7
730000000.0	10276659.7	10174093.8	10366654.3
740000000.0	10365229.3	10261701.8	10456188.5
750000000.0	10453595.7	10349096.3	10545268.8
760000000.0	10541388.4	10436067.9	10633902.1
770000000.0	10628747.0	10522615.3	10721998.8
780000000.0	10715925.1	10608740.4	10809387.0
790000000.0	10802451.4	10694441.8	10896292.1
800000000.0	10888391.3	10779734.7	10982540.8
810000000.0	10974003.9	10864624.5	11068205.5
820000000.0	11059166.5	10949116.8	11153520.2
830000000.0	11143998.0	11033217.4	11238796.9
840000000.0	11228508.0	11116931.7	11323654.5
850000000.0	11312749.7	11200265.0	11408097.9
860000000.0	11396519.4	11283222.6	11491915.6
870000000.0	11479762.7	11365698.9	11575228.4
880000000.0	11562740.6	11447779.7	11659013.5
890000000.0	11645415.3	11529489.6	11741874.6
900000000.0	11727688.0	11610833.1	11824730.2
910000000.0	11809673.2	11691013.2	11907399.3
920000000.0	11891262.6	11770358.8	11989777.0
930000000.0	11972456.3	11850523.9	12071809.8
940000000.0	12053163.6	11930356.7	12153491.0
950000000.0	12133641.9	12009844.0	12234833.1
960000000.0	12213824.4	12089199.5	12315466.6
970000000.0	12293601.9	12167946.7	12396069.8
980000000.0	12373302.9	12246547.3	12476343.2
990000000.0	12452655.4	12324815.6	12556290.4
1000000000.0	12531402.9	12402753.0	12636681.9
1010000000.0	12609789.3	12480362.4	12716120.3
1020000000.0	12687945.4	12557651.1	12794384.4
1030000000.0	12765747.8	12634628.3	12873386.1
1040000000.0	12843506.7	12711253.3	12951671.1
1050000000.0	12920720.9	12787581.0	13030264.4
1060000000.0	12997898.7	12863595.3	13108495.4
1070000000.0	13074556.0	12938228.4	13186081.4
1080000000.0	13151057.3	13014095.2	13263373.9
1090000000.0	13227102.0	13088286.4	13340411.7
1100000000.0	13302840.7	13162965.2	13417072.5
1110000000.0	13378371.0	13237384.9	13493763.9
1120000000.0	13453339.2	13310695.2	13570547.8
1130000000.0	13528166.0	13385145.1	13647046.7
1140000000.0	13603105.7	13458991.4	13722186.8
1150000000.0	13677688.3	13532876.3	13797219.7
1160000000.0	13751634.4	13606499.0	13872043.0
1170000000.0	13825441.5	13679179.4	13946235.0
