
CondaError: Run 'conda init' before 'conda deactivate'

---FILE SRR32774353_2_uniq.hist ---
---LC_EXTRAP---
TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
10000000.0	1400918.5	1378606.8	1422709.2
20000000.0	2593229.0	2551741.3	2634064.9
30000000.0	3720003.5	3660449.2	3778516.5
40000000.0	4802896.0	4726051.6	4878165.5
50000000.0	5852641.5	5759079.3	5944044.3
60000000.0	6875870.5	6765992.5	6982892.1
70000000.0	7877049.5	7751332.8	7999440.3
80000000.0	8859620.5	8718340.7	8997005.8
90000000.0	9826173.0	9669438.6	9978234.9
100000000.0	10778569.0	10606702.1	10945157.6
110000000.0	11718515.0	11531664.0	11899403.2
120000000.0	12647275.5	12445630.1	12842359.1
130000000.0	13565960.0	13349690.6	13775121.2
140000000.0	14475485.0	14244754.4	14698649.8
150000000.0	15376702.0	15131622.5	15613740.9
160000000.0	16270289.0	16010957.8	16521124.4
170000000.0	17156851.0	16883532.9	17421383.5
180000000.0	18036898.0	17749690.2	18315069.2
190000000.0	18910989.0	18609897.4	19202637.2
200000000.0	19779456.0	19464545.8	20084508.9
210000000.0	20642658.0	20314008.8	20961060.5
220000000.0	21500898.5	21158599.9	21832610.2
230000000.0	22354467.5	21998606.0	22699483.4
240000000.0	23203666.5	22834301.0	23561925.6
250000000.0	24048737.0	23665914.9	24420190.7
260000000.0	24889894.5	24493669.9	25274499.7
270000000.0	25727345.5	25317757.0	26125061.5
280000000.0	26561271.0	26138363.9	26972059.2
290000000.0	27391840.0	26955655.8	27815662.8
300000000.0	28219208.0	27769785.8	28656029.3
310000000.0	29043520.5	28580896.8	29493307.6
320000000.0	29864910.5	29389117.9	30327628.8
330000000.0	30683498.5	30194573.9	31159119.9
340000000.0	31499401.4	30997375.0	31987894.8
350000000.0	32312726.8	31797629.3	32814064.5
360000000.0	33123581.0	32595435.3	33637727.8
370000000.0	33932105.2	33390884.0	34458978.8
380000000.0	34738330.7	34184061.8	35277905.6
390000000.0	35542339.3	34975049.5	36094590.7
400000000.0	36344214.8	35763923.1	36909111.7
410000000.0	37144029.6	36550754.2	37721541.5
420000000.0	37941845.4	37335610.2	38531948.9
430000000.0	38737726.4	38118554.8	39340398.5
440000000.0	39531732.9	38899648.0	40146951.6
450000000.0	40323922.4	39678946.8	40951665.9
460000000.0	41114349.0	40456505.0	41754596.4
470000000.0	41903064.1	41232373.8	42555794.8
480000000.0	42690116.5	42006603.2	43355310.4
490000000.0	43475552.4	42779238.8	44153190.0
500000000.0	44259416.0	43550323.4	44949478.0
510000000.0	45041749.1	44319898.6	45744216.8
520000000.0	45822591.8	45088004.3	46537446.7
530000000.0	46601982.1	45854678.5	47329206.0
540000000.0	47379956.4	46619957.3	48119531.6
550000000.0	48156549.4	47383875.5	48908458.3
560000000.0	48931794.4	48146466.1	49696019.7
570000000.0	49705723.1	48907760.9	50482247.9
580000000.0	50478366.0	49667790.1	51267173.4
590000000.0	51249752.1	50426583.0	52050825.7
600000000.0	52019909.5	51184167.3	52833232.8
610000000.0	52788865.0	51940569.9	53614421.9
620000000.0	53556644.3	52695816.5	54394418.7
630000000.0	54323272.2	53449931.8	55173248.3
640000000.0	55088772.3	54202939.6	55950934.5
650000000.0	55853167.7	54954862.6	56727500.4
660000000.0	56616480.2	55705723.0	57502968.1
670000000.0	57378731.1	56455541.8	58277358.9
680000000.0	58139940.7	57204339.5	59050693.3
690000000.0	58900128.8	57952135.9	59822991.2
700000000.0	59659314.3	58698949.8	60594271.5
710000000.0	60417515.4	59444799.5	61364552.8
720000000.0	61174750.0	60189702.9	62133852.7
730000000.0	61931034.9	60933676.9	62902188.4
740000000.0	62686386.8	61676738.0	63669576.5
750000000.0	63440821.5	62418902.2	64436033.1
760000000.0	64194354.5	63160185.0	65201573.4
770000000.0	64947000.6	63900601.2	65966212.6
780000000.0	65698701.6	64640165.3	66729965.2
