
CondaError: Run 'conda init' before 'conda deactivate'

---FILE SRR21787460_1_uniq.hist ---
---LC_EXTRAP---
TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
1120000000.0	104359487.8	104165602.3	104524320.3
1130000000.0	105058285.2	104861794.5	105224379.8
1140000000.0	105753316.4	105556076.5	105922762.8
1150000000.0	106447476.1	106248324.0	106619488.4
1160000000.0	107139122.8	106939135.0	107313566.2
1170000000.0	107830107.8	107628266.4	108006972.1
1180000000.0	108519621.7	108315735.0	108698592.5
1190000000.0	109208147.7	108999913.3	109389693.7
1200000000.0	109894021.7	109682237.3	110079091.2
1210000000.0	110579273.1	110364115.6	110766316.0
1220000000.0	111262623.3	111044421.9	111452184.6
1230000000.0	111945403.8	111723129.9	112138940.3
1240000000.0	112625306.3	112401058.3	112819579.7
1250000000.0	113302917.4	113076523.7	113500011.9
1260000000.0	113979538.4	113751167.9	114181815.1
1270000000.0	114655400.0	114424281.1	114862150.1
1280000000.0	115330028.1	115094461.3	115536966.4
1290000000.0	116002991.9	115763225.3	116213365.1
1300000000.0	116674008.7	116430373.9	116888348.0
1310000000.0	117343246.3	117096746.3	117561381.5
1320000000.0	118011537.4	117761682.1	118231168.7
1330000000.0	118679052.6	118425216.8	118901404.6
1340000000.0	119344838.9	119087421.2	119568701.5
1350000000.0	120009229.9	119747794.6	120234633.1
1360000000.0	120672750.6	120405407.8	120899416.0
1370000000.0	121334026.2	121064296.8	121566054.8
1380000000.0	121994587.8	121721083.1	122231456.2
1390000000.0	122652684.2	122375655.0	122895482.2
1400000000.0	123309600.5	123028808.1	123555945.3
1410000000.0	123964706.7	123680569.7	124216440.9
1420000000.0	124619135.8	124329750.3	124877646.6
1430000000.0	125272414.8	124978963.2	125537640.8
1440000000.0	125925010.1	125627201.8	126193586.3
1450000000.0	126574482.9	126273512.2	126847546.1
1460000000.0	127224114.1	126918829.5	127500288.6
1470000000.0	127872375.0	127562432.3	128151824.8
1480000000.0	128519932.1	128204740.5	128802165.4
