dataset	cell_type	n	n_cre	mean	var	fano_marginal	phi	phi_null_mean	phi_null_max	phi_null_sd	frac_zero	frac_mu_below_1	aic_pois	ll_pois	alpha_mom	aic_nb	ll_nb	alpha_nb	nb_method	delta_aic
shendure	Cardiomyocytes	13662	212	5.123115210071732	1975.9620055787336	385.6954069067416	17.602114613200833	0.7714083571964718	0.8960797409711164	0.03942413489659862	0.857487922705314	0.8535353535353535	141231.5666309076	-70403.7833154538	3.232163314756425	18745.57769779648	-9159.78884889824	2.9356689070939965	lbfgs	122485.9889331111
shendure	EpiblastPrimitiveStreak	76444	211	12.357241902569202	5607.166253478137	453.75548182093513	18.61679837192871	0.9834235189259336	1.044572089621966	0.021540116377805233	0.8204437235100204	0.8334990319711161	1208361.8546942305	-603969.9273471152	1.0554567299920397	136105.22668528778	-67840.61334264389	2.5805629605484093	lbfgs	1072256.6280089426
shendure	ExEndodermParietal	86841	211	2.6764316394329866	427.9959817670965	159.9129136949559	28.416358093331894	0.9905567506013537	1.049742196520837	0.021479123181427914	0.8364136755679921	0.7939452562729586	701927.0396052962	-350752.5198026481	6.101048711482021	133508.54077420835	-66542.27038710417	4.798471100475288	lbfgs	568418.4988310878
shendure	ExEndodermVisceral	57938	212	6.10709724187925	2147.6999630918244	351.672796097634	19.44418167711631	0.9499685510019976	1.0327735170962349	0.029405811348123236	0.8580896820739411	0.8599192239980669	706011.3899226894	-352793.6949613447	2.302855920331248	81860.98607470526	-40717.49303735263	3.197052302247313	lbfgs	624150.4038479842
shendure	Haematoendothelial	24955	211	6.801362452414346	2287.739625472916	336.3649035732267	15.107432081843577	0.8598533077878465	0.9455527255871233	0.032800459404652205	0.8617110799438991	0.8671208174714486	283110.12762878137	-141344.06381439068	1.6386791835504937	35519.68265657633	-17547.841328288167	3.2846540498973873	lbfgs	247590.44497220503
shendure	Mesoderm	143966	211	3.146027534278927	784.808295452724	249.4600847899454	11.744423086577608	0.9926649884726462	1.0407715954589485	0.01873805387849823	0.8775683147409805	0.8946973590986761	939495.5144688848	-469536.7572344424	2.710039582154521	164121.88430634356	-81848.94215317178	2.7987061097507313	lbfgs	775373.6301625413
shendure	NeuroectodermBrain	152178	211	4.3750936403422305	1305.1693824331744	298.31804521813183	12.020750655223544	0.9923856246600029	1.060351984315757	0.020996437532354636	0.8760530431468412	0.8824928701914863	1227458.6765288066	-613518.3382644033	1.895931254062331	176336.33907098375	-87956.16953549188	2.7225328323870306	lbfgs	1051122.3374578229
shendure	NeuroectodermRostral	33885	212	1.5443116423196104	144.91594263152007	93.83853534501056	6.070987372862294	0.8467061125600154	0.9457925445541981	0.03820929959123995	0.8782352073188726	0.8968570163789288	110402.42907618875	-54989.21453809438	2.5302032542114055	35564.57414993387	-17569.287074966935	2.520280004484127	lbfgs	74837.85492625489
shendure	Pluripotent	189895	212	9.482398167408304	3192.902040158375	336.7188324924609	17.72312919457454	1.000932600517212	1.0225756861321196	0.008826056457303114	0.8134916664472471	0.8190842307591037	2146380.1486517694	-1072978.0743258847	0.8867623166884124	360648.7976254783	-180111.39881273915	3.2821221080256797	lbfgs	1785731.351026291
shendure	SurfaceEctoderm	97300	210	2.715159301130524	528.6574577598236	194.70587141598062	10.507781548914446	0.9417221846963997	1.007492349887563	0.0269055723135484	0.8899897225077081	0.9007810894141829	529863.5092132803	-264721.75460664014	2.5037749448242117	100249.45935274244	-49913.72967637122	2.703600973465204	lbfgs	429614.04986053787
