dataset	n_cre	median_pi	mean_pi	max_pi	pct_pi_gt_0.05	pct_pi_gt_0.10	median_mu_NB	median_mu_ZINB	mean_mu_NB	mean_mu_ZINB
Shendure (obs)	208	0.40533073246479034	0.40084807467689804	0.9555870890617371	91.26602564102564	86.0576923076923	0.07051896676421165	0.1287815198302269	1.8573059370459686	2.1608383881291897
Shendure (CM)	208	0.6114227473735809	0.5469086452473838	0.9713747501373291	99.67948717948718	97.35576923076923	3.698008549690712e-05	9.083267286769114e-05	0.0028610829972426843	0.0066521742332636795
Takeshi (obs)	150	0.00982959195971489	0.011144922704746325	0.04513031244277954	0.0	0.0	0.037199003621935844	0.03760004974901676	0.07856017645834455	0.07959617967257815
Takeshi (CM)	150	0.009997667279094458	0.009990832346181075	0.010305451229214668	0.0	0.0	0.00012313674233155325	0.0001244078594027087	0.00037338625911413853	0.00037755401934444103
