replicate	auroc	auprc	test	gt_draw
0	0.9174429588401077	0.9029307909272315	ks	0
1	0.9090775857110622	0.8920996046631331	ks	0
2	0.9127752509722546	0.895681171530101	ks	0
3	0.9347992000743294	0.9210759573088704	ks	0
4	0.9415021170599192	0.9257034606236305	ks	0
0	0.9194610235332115	0.9115804478437342	mwu	0
1	0.9090283646209865	0.8977751764376575	mwu	0
2	0.9146827064741772	0.9078211940915125	mwu	0
3	0.9385720795855252	0.9288084478118366	mwu	0
4	0.9440300901243689	0.9320751178051129	mwu	0
0	0.9151782356506697	0.9050553144736524	pseudobulk	0
1	0.9023287659111322	0.8878707995787132	pseudobulk	0
2	0.911812397963021	0.9010688585867895	pseudobulk	0
3	0.936930086142438	0.9239000442950649	pseudobulk	0
4	0.9439366253578207	0.9266206734024295	pseudobulk	0
0	0.9213701381730015	0.9165041431059853	ttest	0
1	0.9096129341963799	0.9000320844671009	ttest	0
2	0.9126220572424686	0.9056169039794735	ttest	0
3	0.939925383039629	0.9289062481080743	ttest	0
4	0.9486629560969999	0.9364307261081087	ttest	0
0	0.9290007674250633	0.9225560926186275	wald_auto	0
1	0.9163373880677528	0.9066638637909196	wald_auto	0
2	0.9039337543859649	0.8991372114243033	wald_auto	0
3	0.9372709878883052	0.9269761801279903	wald_auto	0
4	0.9486108342344971	0.9375495064092373	wald_auto	0
0	0.9272378931426569	0.9135146221260491	ks	1
1	0.9279766883531811	0.9158190289861904	ks	1
2	0.9255943178945747	0.9125290291395399	ks	1
3	0.9329296538945138	0.9179745607885771	ks	1
4	0.9255454988277999	0.9114679501309607	ks	1
0	0.9285142405217781	0.9213668685295018	mwu	1
1	0.9259425605709009	0.9206816313869196	mwu	1
2	0.9239084327886211	0.9178724203815217	mwu	1
3	0.9333608889843573	0.9255266324784783	mwu	1
4	0.9253968718911747	0.9209283091693247	mwu	1
0	0.9267035955785115	0.9177696156608331	pseudobulk	1
1	0.9203489803866687	0.9073509531713074	pseudobulk	1
2	0.9244389333142397	0.911790081257615	pseudobulk	1
3	0.9260597263311604	0.9144859047788241	pseudobulk	1
4	0.9261758072232692	0.9177549641609795	pseudobulk	1
0	0.9301941588529038	0.9249505684701612	ttest	1
1	0.927646888435414	0.922902643859854	ttest	1
2	0.9260233832481168	0.915634723749636	ttest	1
3	0.9328466614809969	0.9243578315984757	ttest	1
4	0.9313028941027652	0.9258803904278586	ttest	1
0	0.925641511608833	0.9211213165911729	wald_auto	1
1	0.9191579292267367	0.9140331908555118	wald_auto	1
2	0.9202840266014942	0.9134069879422901	wald_auto	1
3	0.93320269375138	0.9242484103340113	wald_auto	1
4	0.9276231263383297	0.920561480270618	wald_auto	1
0	0.9326698876226917	0.9181264974057314	ks	2
1	0.899281684513256	0.8699248825130308	ks	2
2	0.9316170111887598	0.9181572242859467	ks	2
3	0.9204126696872869	0.9041306499434206	ks	2
4	0.9309091576877232	0.9150906851207351	ks	2
0	0.9337411281804715	0.9262530302759371	mwu	2
1	0.9040480093846237	0.8812399375141684	mwu	2
2	0.9301606805187808	0.925516029676816	mwu	2
3	0.9238768112312755	0.9174220614577617	mwu	2
4	0.9335291060233214	0.9260112930958194	mwu	2
0	0.9268406695225663	0.9148254299697673	pseudobulk	2
1	0.9064709607553108	0.8780677436761282	pseudobulk	2
2	0.9298000759050453	0.9177775057607991	pseudobulk	2
3	0.9242129303465476	0.9166604115823167	pseudobulk	2
4	0.9306437126248341	0.9204761177647592	pseudobulk	2
0	0.932523531120512	0.9241233656409896	ttest	2
1	0.914971880630969	0.8952409411790405	ttest	2
2	0.9341896579932353	0.9273424303747683	ttest	2
3	0.9269397244936233	0.9239322713123478	ttest	2
4	0.9347261130050273	0.9276545411783874	ttest	2
0	0.9347157678651945	0.9277021844233282	wald_auto	2
1	0.9241520615951453	0.9104730304812989	wald_auto	2
2	0.932226976963637	0.9264795868163683	wald_auto	2
3	0.9241942836148891	0.9221374749112861	wald_auto	2
4	0.9291810081694185	0.9207988197706197	wald_auto	2
0	0.9192079290229499	0.9057369801380546	ks	3
1	0.9217959530130354	0.9073867506757718	ks	3
2	0.9012525554822682	0.8816514066508202	ks	3
3	0.8881992231552671	0.8702524517788587	ks	3
4	0.9218008752902778	0.9055386729332128	ks	3
0	0.925470159514598	0.9169358255698529	mwu	3
1	0.9232387271647354	0.9177121932991267	mwu	3
2	0.9092200815785414	0.8978056299887023	mwu	3
3	0.892174782408	0.8847225557065833	mwu	3
4	0.9237156411375493	0.9144860926951625	mwu	3
0	0.9207710255072407	0.9076876371332301	pseudobulk	3
1	0.9237386117646802	0.9118010662119089	pseudobulk	3
2	0.9109570985253952	0.8924125316113998	pseudobulk	3
3	0.8986158556394531	0.8863383761486301	pseudobulk	3
4	0.9193063745677967	0.9057884160247158	pseudobulk	3
0	0.9266449430164372	0.9181294436935443	ttest	3
1	0.9300194375259103	0.9251517591377405	ttest	3
2	0.9134072987526949	0.9018735565104827	ttest	3
3	0.8996626599329915	0.8908362870646925	ttest	3
4	0.9229816749087465	0.914718960559538	ttest	3
0	0.9230858174605645	0.9153591367607673	wald_auto	3
1	0.926773465558414	0.9216291121814479	wald_auto	3
2	0.9071762644779695	0.8969119740735313	wald_auto	3
3	0.8942679929419398	0.8830039952188843	wald_auto	3
4	0.9219306049822064	0.9154069708462946	wald_auto	3
0	0.9157472297841992	0.8943223751243737	ks	4
1	0.9179672574268313	0.8977685303004788	ks	4
2	0.9236261736497005	0.9068409767998296	ks	4
3	0.9087101503337411	0.890951508943642	ks	4
4	0.9293037979706815	0.9132915727142427	ks	4
0	0.9145130622208667	0.9024288707361173	mwu	4
1	0.9172829945655809	0.907369153258411	mwu	4
2	0.9252945958540587	0.9158386014124161	mwu	4
3	0.911660360714808	0.9009994340364758	mwu	4
4	0.9300305792367323	0.9209189691586668	mwu	4
0	0.9124234243529549	0.8952868541489855	pseudobulk	4
1	0.9128820562127326	0.894781763902116	pseudobulk	4
2	0.919193488221268	0.9027740720496137	pseudobulk	4
3	0.9059209429788506	0.8887886408236494	pseudobulk	4
4	0.9264930479573592	0.9098945296366916	pseudobulk	4
0	0.9157387261032393	0.9045598538350669	ttest	4
1	0.9227667349606734	0.9101872762461977	ttest	4
2	0.9244408262856716	0.9131098119135069	ttest	4
3	0.9158566438125515	0.9052623561066325	ttest	4
4	0.9283865342511262	0.9182881477960885	ttest	4
0	0.907119374311735	0.8960082101202114	wald_auto	4
1	0.9225461022776701	0.9092582266319446	wald_auto	4
2	0.9251817345295605	0.9122027064698335	wald_auto	4
3	0.9245298850574712	0.9117153720954045	wald_auto	4
4	0.9096791504909796	0.9008947968901238	wald_auto	4
